Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
10,351390,82738065,19498885845,39010410,9185373360,2027191756438,4471183260,1052730945240,27532721670
10,357765,83733075,19611902865,39776175,9307610415,2072155964585,4580994165,1071764954865,27223513615
11,269025,42647475,6768536655,23286345,3687539700,584597718870,2096002845,331510423890,-13255476284
11,269790,42768855,6787957455,23287620,3687842895,584674129365,2089956030,330566965455,-9161766939
11,268770,42596220,6758759700,23197860,3673029180,582224662350,2081168730,329157047760,-17105881338
11,268515,42507735,6737272125,23134365,3659075070,579409604640,2070614535,327157790130,-19542894068
11,267240,42256815,6689660565,23129520,3654348645,578027456445,2078827320,328129143525,-4073147983
11,274380,43329855,6850698165,23956740,3780268410,597189499530,2175921120,343030428330,-10133498662
11,275910,43488465,6862836675,24058740,3788489865,597265306185,2180737050,343011156705,3699719185
11,274890,43259475,6816048255,23942715,3764966115,592737672555,2165763705,340250127375,-303742705
11,280755,44102250,6935972970,24697260,3877399185,609432557745,2261422620,354793629075,-4096832265
11,277695,43557825,6840617505,24133710,3783631605,593891242065,2178447660,341309354025,-14758491663
11,292995,64105980,14035441740,24401460,5333206425,1166397894705,2124233130,463715557665,17580245325
11,290700,63499080,13879869300,24125550,5264465310,1149543443520,2093669340,456314273700,847188574
11,291720,63595725,13873773015,24293340,5290789470,1153076990760,2114621670,460007059260,8823908202
11,287640,62579550,13624563810,23881260,5190773370,1129054187910,2072999550,450071897670,13690730886
11,292995,63602100,13816257000,24308895,5273191665,1144690454625,2106285465,456509598855,-911329813
11,286110,61948425,13422839175,23618355,5110628655,1106659525635,2034906375,439969859745,4840986577
11,292230,63126780,13646013900,24043185,5191885425,1121905775205,2063223615,445323930525,9311869473
11,300645,64751640,13955972520,24778095,5334051495,1149088113735,2133759165,459051706095,8209037207
11,301155,64695285,13908096015,24711030,5306584170,1140367787190,2119475850,454922055810,-17490833834
11,298605,64024125,13737719295,24325980,5214792075,1118713142055,2067451770,443082239295,-10618022717
11,306255,81778755,21848233995,31955070,8530977570,994465644316,3434833170,916696381860,-15442049410
11,303450,80798025,21524773125,31427475,8366397000,1107418178934,3349778175,891479609850,-12558442916
11,308550,81901155,21750940275,31966290,8484031305,1144776180267,3411055950,905109796665,-11468017185
11,310080,82037325,21715790055,32030550,8473890975,1212202842705,3407969940,901473964845,17308660035
11,316965,83586960,22054179390,32697120,8622527925,1257107849283,3474813600,916256580555,-19789261671
11,316200,83172075,21888262365,32539275,8559349125,1269076501751,3450635775,907636472325,-17967829917
11,315435,82771470,21730408950,32533410,8537800860,1266721997248,3458172300,907561428630,-18936448306
11,323085,84489915,22106100195,33473595,8755342635,1286138404101,3579878955,936496655775,-16906367351
11,316200,82434870,21501637740,32676210,8518903320,1285671358612,3492063840,910342317360,-8862229656
11,313395,81504120,21207526350,32208030,8376555945,1354989598563,3419770320,889361875395,8474347865
11,345270,54602130,8648461170,30791505,4869838275,771357817335,2862087105,452637658455,-8414218033
